Title,Links,Distributor,Opening,Budget,Release Date,MPAA,Running Time,Genres,In Release,Widest Release,Director,Domestic,International,Worldwide
Becoming Cousteau,/release/rl1846182657/?ref_=bo_yld_table_190,Picturehouse,"$116,974",-,"Oct 22, 2021",PG-13,1 hr 34 min,"['Adventure', 'Biography', 'Documentary']",77 days/11 weeks,319 theaters,"Liz Garbus

","
$231,687
","
$50,947
","
$282,634
"
Half Brothers,/release/rl760382209/?ref_=bo_yld_table_191,Focus Features,"$700,160",-,"Dec 4, 2020",PG-13,1 hr 36 min,"['Comedy', 'Drama']",393 days/56 weeks,"1,386 theaters","Luke Greenfield

","
$2,241,980
","
$1,032,359
","
$3,274,339
"
Limbo,/release/rl1735361281/?ref_=bo_yld_table_192,Focus Features,"$84,710",-,"Apr 30, 2021",R,1 hr 44 min,"['Comedy', 'Drama']",246 days/35 weeks,213 theaters,"Ben Sharrock

","
$224,405
","
$697,489
","
$921,894
"
Promare,/release/rl3104540161/?ref_=bo_yld_table_193,GKIDS,"$109,085",-,"Sep 17, 2019",PG-13,1 hr 51 min,"['Action', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi', 'Thriller']",837 days/119 weeks,701 theaters,"Hiroyuki Imaishi

","
$2,529,324
","
$7,153,740
","
$9,683,064
"
Together,/release/rl252543745/?ref_=bo_yld_table_194,Universal Pictures,"$100,066",-,"Aug 27, 2021",R,1 hr 32 min,"['Comedy', 'Drama', 'Romance']",127 days/18 weeks,250 theaters,"Stephen Daldry

","
$214,390
","
–
","
$214,390
"
The Swimming Pool,/release/rl2658632449/?ref_=bo_yld_table_195,Rialto Distribution,"$3,867",-,"May 14, 2021",,2 hr 2 min,"['Crime', 'Drama', 'Romance']",232 days/33 weeks,10 theaters,"Jacques Deray

","
$211,467
","
–
","
$211,467
"
Ailey,/release/rl2332459777/?ref_=bo_yld_table_196,Neon,"$15,091",-,"Jul 23, 2021",PG-13,1 hr 35 min,"['Biography', 'Documentary', 'History', 'Music']",162 days/23 weeks,88 theaters,"Jamila Wignot

","
$204,513
","
$9,815
","
$214,328
"
The Lady of Heaven,/release/rl2943123457/?ref_=bo_yld_table_197,Universal Pictures International (UPI),,-,"Dec 10, 2021",R,2 hr 21 min,"['Action', 'Drama', 'History']",387 days/55 weeks,59 theaters,"Eli King

","
$291,597
","
$224,278
","
$515,875
"
Groundhog Day,/release/rl3177939713/?ref_=bo_yld_table_198,Sony Pictures Classics,"$85,330",-,"Jan 29, 2021",PG,1 hr 41 min,"['Comedy', 'Drama', 'Fantasy', 'Romance']",343 days/49 weeks,845 theaters,"Harold Ramis

","
$200,989
","
–
","
$200,989
"
The Resort,/release/rl1316193025/?ref_=bo_yld_table_199,Vertical Entertainment,"$88,831",-,"Apr 30, 2021",,1 hr 16 min,['Horror'],246 days/35 weeks,114 theaters,"Taylor Chien

","
$191,996
","
$16,643
","
$208,639
"
Kaamelott: First Installment,/release/rl3691414273/?ref_=bo_yld_table_200,Paramount Pictures,"$188,000",-,"Jul 23, 2021",,2 hr,"['Adventure', 'Comedy', 'Fantasy']",162 days/23 weeks,26 theaters,"Alexandre Astier

","
$188,000
","
$21,791,122
","
$21,979,122
"
